gabriel logon [23:04 27-03-2014]
leonardo logon [23:04 27-03-2014]
leonardo disconected(t.o.) [23:04 27-03-2014]
gabriel logout [23:04 27-03-2014]
gabriel logon [06:31 28-03-2014]
leonardo logon [06:31 28-03-2014]
gabriel logout [06:32 28-03-2014]
gabriel logon [06:33 28-03-2014]
leonardo logon [06:33 28-03-2014]
unknown logout [06:34 28-03-2014]
leonardo disconected(t.o.) [06:34 28-03-2014]
gabriel logon [06:36 28-03-2014]
leonardo logon [06:36 28-03-2014]
gabriel logout [06:36 28-03-2014]
gabriel logout [06:36 28-03-2014]
gabriel logon [06:38 28-03-2014]
leonardo logon [06:38 28-03-2014]
gabriel logout [06:39 28-03-2014]
gabriel logout [06:39 28-03-2014]
leonardo logon [06:42 28-03-2014]
gabriel logon [06:42 28-03-2014]
gabriel logout [06:42 28-03-2014]
gabriel logout [06:42 28-03-2014]
gabriel logon [06:44 28-03-2014]
leonardo logon [06:44 28-03-2014]
leonardo disconected(t.o.) [06:45 28-03-2014]
gabriel logout [06:45 28-03-2014]
gabriel logon [06:45 28-03-2014]
leonardo logon [06:45 28-03-2014]
leonardo disconected(t.o.) [06:46 28-03-2014]
gabriel logout [06:46 28-03-2014]
gabriel logon [06:47 28-03-2014]
leonardo logon [06:47 28-03-2014]
leonardo disconected(t.o.) [06:49 28-03-2014]
gabriel logout [06:49 28-03-2014]
gabriel logon [06:49 28-03-2014]
leonardo logon [06:49 28-03-2014]
gabriel logout [06:50 28-03-2014]
gabriel logout [06:50 28-03-2014]
gabriel logon [06:50 28-03-2014]
leonardo logon [06:50 28-03-2014]
gabriel logout [06:51 28-03-2014]
gabriel logout [06:51 28-03-2014]
gabriel logon [06:51 28-03-2014]
leonardo logon [06:51 28-03-2014]
gabriel logout [06:52 28-03-2014]
gabriel logout [06:52 28-03-2014]
gabriel logon [06:52 28-03-2014]
leonardo logon [06:52 28-03-2014]
gabriel logout [06:53 28-03-2014]
gabriel logout [06:53 28-03-2014]
gabriel logon [06:55 28-03-2014]
leonardo logon [06:55 28-03-2014]
gabriel logout [06:55 28-03-2014]
gabriel logout [06:55 28-03-2014]
gabriel logon [06:58 28-03-2014]
leonardo logon [06:58 28-03-2014]
gabriel logout [06:59 28-03-2014]
gabriel logout [06:59 28-03-2014]
gabriel logon [06:59 28-03-2014]
leonardo logon [07:00 28-03-2014]
gabriel logon [07:00 28-03-2014]
gabriel logon [07:00 28-03-2014]
leonardo logon [07:00 28-03-2014]
gabriel logout [07:01 28-03-2014]
gabriel logout [07:01 28-03-2014]
gabriel logon [07:01 28-03-2014]
leonardo logon [07:01 28-03-2014]
gabriel logout [07:01 28-03-2014]
gabriel logon [07:02 28-03-2014]
leonardo logon [07:02 28-03-2014]
gabriel disconected(t.o.) [07:02 28-03-2014]
gabriel logout [07:02 28-03-2014]
gabriel logout [07:02 28-03-2014]
gabriel logon [07:03 28-03-2014]
leonardo logon [07:03 28-03-2014]
gabriel logout [07:03 28-03-2014]
gabriel logout [07:03 28-03-2014]
gabriel logon [07:09 28-03-2014]
leonardo logon [07:09 28-03-2014]
gabriel logout [07:10 28-03-2014]
gabriel logout [07:10 28-03-2014]
gabriel logon [07:59 28-03-2014]
leonardo logon [07:59 28-03-2014]
gabriel logout [08:00 28-03-2014]
gabriel logout [08:00 28-03-2014]
gabriel logon [08:10 28-03-2014]
leonardo logon [08:10 28-03-2014]
gabriel logout [08:12 28-03-2014]
gabriel logout [08:12 28-03-2014]
gabriel logon [08:13 28-03-2014]
leonardo logon [08:13 28-03-2014]
gabriel logout [08:14 28-03-2014]
gabriel logon [08:15 28-03-2014]
